0,1,2
3,1605,2.651665449142456
3,1294,2.4308388948440554
3,1487,2.172222900390625
3,2038,1.6428155422210693
3,1665,1.5889735460281371
0,1122,1.5503443241119386
1,1369,1.4747777700424194
2,1680,1.4485213041305542
3,1965,1.3637724280357362
2,958,0.8787538647651673
3,1193,0.8759048461914063
3,410,0.8203662097454071
3,1023,0.812407523393631
3,373,0.8030009865760803
3,689,0.7709127068519592
3,708,0.7345623672008514
3,1940,0.722048032283783
2,229,0.7138271927833557
3,335,0.6665472269058228
2,1199,0.6438925623893738
3,897,0.6399676620960235
3,1511,0.6315517425537109
3,1379,0.6221969187259674
3,411,0.596913069486618
2,711,0.5893378496170044
1,823,0.5870736241340637
1,1055,0.5837198317050933
3,1362,0.5836871981620788
3,1391,0.5782563269138337
3,1305,0.5562663942575454
3,1757,0.5311478078365326
3,34,0.5224732011556625
3,559,0.5159874975681304
3,2004,0.5152143478393555
3,495,0.5051052361726761
3,154,0.4968503534793854
2,2005,0.48785954117774966
3,596,0.4732816070318222
3,1028,0.4724977403879166
3,679,0.46675989031791687
3,1279,0.46665565967559813
3,1746,0.45650794506073
2,946,0.45427236557006834
3,655,0.44495974779129027
3,101,0.4400673508644104
3,108,0.43575053811073305
3,1772,0.43265641331672666
3,83,0.41618403792381287
2,274,0.4083797842264175
3,1053,0.40459672808647157
