0,1,2
3,1297,2.645723909139633
3,1665,1.5170585632324218
0,1122,1.4978406190872193
1,1369,1.4520554065704345
3,1115,1.4488437294960022
2,1680,1.396847176551819
3,1929,1.28018097281456
3,1620,1.2527865409851073
3,488,1.2129051566123963
3,1476,1.0777533292770385
3,773,1.066085398197174
3,787,0.9872753083705902
3,1434,0.9760961413383484
3,2038,0.9405400633811951
3,943,0.8881404906511307
3,252,0.853118172287941
3,1483,0.7695671141147613
2,958,0.7401270627975464
3,1459,0.7179898083209991
2,229,0.7009952187538147
3,411,0.694702422618866
3,1523,0.6899867057800293
2,1199,0.6695750594139099
3,108,0.6652625560760498
3,893,0.6272340774536133
3,1550,0.6251378774642944
3,1205,0.6176797211170196
3,1676,0.6071546733379364
3,34,0.5687056005001068
3,558,0.5532078266143798
3,1950,0.5483966529369354
3,2013,0.5404614686965943
2,1613,0.537202257104218
1,1055,0.5237456977367401
1,823,0.5215601801872254
2,711,0.5120574831962585
3,83,0.5070664644241333
3,818,0.4954411655664444
3,977,0.48975586891174316
2,2005,0.4896201193332672
3,1298,0.48774018585681916
3,1399,0.4851179003715515
3,1142,0.47652397900819776
3,2024,0.4764796316623688
3,1089,0.4739696204662323
3,154,0.4664693892002106
3,1631,0.44432562589645386
3,835,0.4427147150039673
3,583,0.44073296785354615
3,1008,0.4398703157901764
