0,1,2
3,924,2.170290780067444
3,1487,2.112009119987488
3,1665,1.457532024383545
0,1122,1.4278053283691405
1,1369,1.3794601202011108
2,1680,1.3516388416290284
3,691,1.1373960852622986
3,897,1.125010907649994
3,630,0.8727779746055603
2,958,0.8372587203979492
3,366,0.7791972517967224
3,2038,0.7656646549701691
2,229,0.7447493553161622
3,1008,0.7144373908638955
3,1808,0.699243712425232
3,53,0.6755126237869262
3,1470,0.6628691732883454
3,34,0.6417050182819366
3,577,0.6391240656375885
3,664,0.6087754249572754
3,995,0.6061400592327117
1,1055,0.6041362822055817
1,823,0.5935454428195953
2,1199,0.5759062945842743
2,711,0.5731324076652526
2,946,0.5630211114883423
3,373,0.5444887697696685
2,2005,0.538354468345642
3,1028,0.5332000494003296
3,918,0.47814971804618833
3,1965,0.4767952084541321
3,1576,0.463695752620697
3,818,0.45934882164001467
3,1908,0.4566352188587189
3,46,0.4529405951499939
3,969,0.44417080879211424
3,669,0.4427719473838806
3,794,0.4347768366336823
3,1267,0.43054813146591187
3,1385,0.42931623458862306
3,154,0.4208569288253784
3,411,0.42034590244293213
3,689,0.4117877721786499
3,1664,0.4061098277568817
3,1257,0.40585713982582095
3,949,0.4053258776664734
3,1514,0.40340845882892606
3,1550,0.39683517813682556
3,1772,0.38438256094232204
3,655,0.3800211429595947
