0,1,2
3,1237,2.2189783334732054
3,95,1.7827681303024292
3,30,1.5665398836135864
3,1665,1.5557473421096801
3,1470,1.5508054852485658
0,1122,1.5422817468643188
1,1369,1.4961423397064209
2,1680,1.4542495489120484
3,1567,1.3469523072242737
3,1037,1.3118278622627257
3,949,1.1908443212509154
3,400,1.0477120995521545
3,34,0.99843670129776
3,129,0.9961852192878723
3,995,0.9222578406333923
3,2038,0.8882863163948059
2,229,0.8620094895362854
3,65,0.8345179557800293
3,484,0.8159596681594848
3,772,0.7968580782413482
2,958,0.7631220698356629
2,360,0.7271192908287049
3,1424,0.6838900327682496
3,1978,0.6347894430160522
2,1199,0.628054678440094
3,664,0.6182603478431702
3,83,0.6095748245716095
2,2005,0.5827293157577514
3,345,0.5646022021770477
3,782,0.5441819250583648
3,274,0.5398492217063904
3,869,0.5365887761116028
1,823,0.5345925450325012
2,711,0.5334745883941651
3,679,0.5313590943813324
3,601,0.5175949275493622
1,1055,0.4967178225517273
3,597,0.48301978707313536
3,794,0.4810646831989288
3,108,0.47654858231544495
3,411,0.47352767884731295
3,1030,0.472645628452301
2,946,0.4700340211391449
3,757,0.4695278137922287
3,818,0.45561459064483645
3,1864,0.4483715116977692
3,154,0.4381972968578339
0,381,0.42253026366233826
3,800,0.4067087799310684
3,338,0.4047868728637695
