0,1,2
0,1122,1.590781831741333
3,1665,1.5664642572402954
1,1369,1.5359299898147583
2,1680,1.4949953317642213
3,2038,1.198686707019806
3,1420,1.1343082070350647
3,1239,0.8981624364852905
3,1279,0.8831389546394348
3,1433,0.8807923793792725
3,108,0.7630099654197693
3,263,0.7460422158241272
3,534,0.7403756260871888
2,958,0.7402347803115845
3,1514,0.7055602431297302
3,724,0.6818876624107361
3,981,0.6578899919986725
3,1096,0.6328317224979401
2,229,0.6266607403755188
3,34,0.6121253848075867
3,1347,0.588001823425293
3,461,0.5859458982944489
2,1199,0.5810851037502289
3,250,0.5794259667396545
3,2016,0.5724504828453064
1,823,0.552966296672821
1,1055,0.5274162530899048
3,877,0.5237317860126496
3,588,0.5151141703128814
3,1550,0.5070800483226776
3,1501,0.503812825679779
2,711,0.4925293743610382
3,454,0.4858688235282898
3,83,0.48548767566680906
3,1470,0.48410637974739074
2,2005,0.4675631165504456
3,154,0.4444029927253723
3,373,0.4314239382743835
2,1600,0.4302416414022446
3,824,0.4276862680912018
3,1459,0.4273393630981445
2,946,0.40794541239738463
3,1411,0.4050711810588837
3,1893,0.3960236430168152
3,786,0.388631010055542
3,688,0.38765974938869474
3,2012,0.35745563805103303
3,765,0.34856247901916504
3,1528,0.3470165073871613
3,818,0.3467418313026428
3,411,0.3396913096308708
