0,1,2
3,1032,1.9876115918159485
3,1665,1.5415557861328124
0,1122,1.4938322305679321
1,1369,1.4496780157089233
2,1680,1.4041130304336549
3,1103,1.3790005803108216
3,2038,1.333952283859253
3,1937,0.9802283227443696
2,229,0.8575761556625366
3,63,0.8571663036942482
3,2013,0.8519470691680908
2,958,0.8284749984741211
3,1550,0.8025726914405823
2,1199,0.6867771625518799
3,1089,0.6734765827655792
3,42,0.6604914277791977
3,874,0.6212062582373619
3,411,0.6101436823606491
3,34,0.6007906496524811
2,2005,0.5908638834953308
3,1205,0.5453778266906738
3,1286,0.5444081157445908
1,823,0.5071227014064789
3,989,0.50113365650177
3,83,0.49705573320388796
3,1347,0.4867010712623596
3,818,0.4760078489780426
3,924,0.4586274266242981
3,450,0.44150054454803467
3,373,0.4392073377966881
2,946,0.4328607141971588
3,977,0.42765255868434904
3,679,0.42753622531890867
3,31,0.41352116614580153
3,108,0.3921531021595001
3,1431,0.3913651674985886
3,1664,0.3883516103029251
3,1356,0.3872817948460579
3,154,0.3844154417514801
3,454,0.38077967762947085
3,1279,0.37047533988952636
3,1983,0.3675018161535263
3,331,0.36559727489948274
2,711,0.36282348036766054
3,1726,0.3620654970407486
0,381,0.35538873076438904
2,1121,0.34921652972698214
3,877,0.3461325287818909
3,533,0.34560358077287673
3,1644,0.3428356200456619
