layer,neuron_index,activation,feature_type
3,1305,0.5562663942575454,nba
3,1757,0.5311478078365326,nba
3,34,0.5224732011556625,nba
3,559,0.5159874975681304,nba
3,2004,0.5152143478393555,nba
3,495,0.5051052361726761,nba
3,154,0.4968503534793854,nba
2,2005,0.4878595411777496,nba
3,596,0.4732816070318222,nba
3,1028,0.4724977403879166,nba
3,679,0.4667598903179168,nba
3,1279,0.4666556596755981,nba
3,1746,0.45650794506073,nba
2,946,0.4542723655700683,nba
3,655,0.4449597477912902,nba
3,101,0.4400673508644104,nba
3,108,0.435750538110733,nba
3,1772,0.4326564133167266,nba
3,83,0.4161840379238128,nba
2,274,0.4083797842264175,nba
3,1053,0.4045967280864715,nba
3,1965,1.6481365442276,sail
3,1665,1.5866132974624634,sail
0,1122,1.5569758415222168,sail
1,1369,1.4911474704742431,sail
2,1680,1.451355481147766,sail
3,2038,1.041345727443695,sail
3,1420,1.0310455322265626,sail
3,961,0.9599234104156494,sail
2,958,0.8911208748817444,sail
3,156,0.7568661451339722,sail
3,1940,0.7492521584033967,sail
3,1605,0.7370015442371368,sail
3,1757,0.7317290902137756,sail
2,1199,0.6716205477714539,sail
2,229,0.6715405225753784,sail
3,49,0.6631214499473572,sail
3,850,0.6498363792896271,sail
3,1470,0.6303566753864288,sail
1,823,0.6000953435897827,sail
2,1613,0.5867220252286642,sail
3,34,0.5793848514556885,sail
3,877,0.5618025243282319,sail
3,1167,0.5569375813007355,sail
3,1258,0.5567098587751389,sail
3,461,0.5524224519729615,sail
3,43,0.5410600960254669,sail
3,1550,0.5396793067455292,sail
3,83,0.5249404191970826,sail
3,1230,0.5086816310882568,sail
3,989,0.5003491103649139,sail
2,711,0.4890562176704406,sail
2,2005,0.4807979345321655,sail
3,1008,0.4742962419986725,sail
3,154,0.4727421998977661,sail
1,1055,0.4711999118328094,sail
2,946,0.4672071039676666,sail
3,108,0.465591949224472,sail
3,1501,0.4607792854309082,sail
3,1103,0.4599395453929901,sail
3,1267,0.45489332228899,sail
3,687,0.449378228187561,sail
3,896,0.4470219910144806,sail
3,1459,0.4445074468851089,sail
3,263,0.4396844387054443,sail
3,1028,0.4384487479925155,sail
3,724,0.4368082135915756,sail
3,1964,0.4353141702711582,sail
3,1664,0.4343840032815933,sail
2,2014,0.4283490091562271,sail
3,602,0.4201933354139328,sail
0,1122,1.590781831741333,travel
3,1665,1.5664642572402954,travel
1,1369,1.5359299898147585,travel
2,1680,1.4949953317642213,travel
3,2038,1.198686707019806,travel
3,1420,1.1343082070350647,travel
3,1239,0.8981624364852905,travel
3,1279,0.8831389546394348,travel
3,1433,0.8807923793792725,travel
3,108,0.7630099654197693,travel
3,263,0.7460422158241272,travel
3,534,0.7403756260871888,travel
2,958,0.7402347803115845,travel
3,1514,0.7055602431297302,travel
3,724,0.6818876624107361,travel
3,981,0.6578899919986725,travel
3,1096,0.6328317224979401,travel
2,229,0.6266607403755188,travel
3,34,0.6121253848075867,travel
3,1347,0.588001823425293,travel
3,461,0.5859458982944489,travel
2,1199,0.5810851037502289,travel
3,250,0.5794259667396545,travel
3,2016,0.5724504828453064,travel
1,823,0.552966296672821,travel
1,1055,0.5274162530899048,travel
3,877,0.5237317860126496,travel
3,588,0.5151141703128814,travel
3,1550,0.5070800483226776,travel
3,1501,0.503812825679779,travel
2,711,0.4925293743610382,travel
3,454,0.4858688235282898,travel
3,83,0.485487675666809,travel
3,1470,0.4841063797473907,travel
2,2005,0.4675631165504456,travel
