0,1,2
3,2038,1.5790059089660644
3,1665,1.3263581275939942
3,1912,1.309519600868225
0,1122,1.2293896675109863
1,1369,1.1697349905967713
2,723,1.1575563430786133
3,556,1.1409158110618591
2,1680,1.1372984766960144
3,400,1.1055377840995788
3,65,1.1004006147384644
3,1644,1.0958511114120484
3,713,1.0883986115455628
3,1174,1.0805426955223083
3,125,1.0369434595108031
3,1995,1.0208391785621642
3,34,1.0172291994094849
3,26,0.9681955337524414
2,229,0.9161573886871338
3,591,0.8939019083976746
1,111,0.8870764255523682
3,1550,0.8448850274085998
3,226,0.8381438970565795
3,772,0.8172735095024108
3,1106,0.8020548820495605
2,958,0.801648736000061
3,712,0.8011138916015625
3,450,0.7906547665596009
3,1578,0.7566158711910248
3,136,0.7293706655502319
3,604,0.7133572816848754
3,155,0.7120612680912017
3,411,0.6916584312915802
2,1199,0.6647665977478028
3,956,0.6586653411388397
3,1144,0.6406547009944916
3,1627,0.6327234506607056
2,494,0.6056546449661255
3,1078,0.5933570265769958
2,866,0.5844427704811096
3,1176,0.5715266346931458
2,2005,0.5708883762359619
3,83,0.5652088344097137
3,887,0.559418386220932
3,1171,0.556215089559555
3,1197,0.5437914609909058
3,679,0.5400877714157104
3,1772,0.5230097651481629
3,272,0.5181787505745887
3,1246,0.5136987805366516
3,162,0.4919839441776276
